Price,Close
Ticker,AAPL
Date,
2015-01-02,24.214889526367188
2015-01-05,23.5327205657959
2015-01-06,23.534936904907227
2015-01-07,23.86494255065918
2015-01-08,24.781890869140625
2015-01-09,24.808467864990234
2015-01-12,24.19718360900879
2015-01-13,24.412015914916992
2015-01-14,24.31899642944336
2015-01-15,23.658967971801758
2015-01-16,23.47513771057129
2015-01-20,24.079788208007812
2015-01-21,24.263620376586914
2015-01-22,24.89485740661621
2015-01-23,25.023311614990234
2015-01-26,25.049880981445312
2015-01-27,24.172805786132812
2015-01-28,25.539365768432617
2015-01-29,26.334505081176758
2015-01-30,25.949115753173828
2015-02-02,26.274694442749023
2015-02-03,26.27912712097168
2015-02-04,26.48067283630371
2015-02-05,26.66968536376953
2015-02-06,26.445096969604492
2015-02-09,26.620759963989258
2015-02-10,27.132192611694336
2015-02-11,27.768136978149414
2015-02-12,28.119464874267578
2015-02-13,28.257322311401367
2015-02-17,28.424089431762695
2015-02-18,28.621990203857422
2015-02-19,28.56195068359375
2015-02-20,28.795427322387695
2015-02-23,29.57369041442871
2015-02-24,29.389129638671875
2015-02-25,28.637557983398438
2015-02-26,28.999998092651367
2015-02-27,28.564186096191406
2015-03-02,28.70425796508789
2015-03-03,28.76429557800293
2015-03-04,28.581960678100586
2015-03-05,28.10834503173828
2015-03-06,28.150588989257812
2015-03-09,28.27066421508789
2015-03-10,27.685863494873047
2015-03-11,27.18111228942871
2015-03-12,27.672521591186523
2015-03-13,27.48128890991211
2015-03-16,27.78369903564453
2015-03-17,28.248428344726562
2015-03-18,28.566402435302734
2015-03-19,28.350717544555664
2015-03-20,27.99493980407715
2015-03-23,28.28623390197754
2015-03-24,28.170608520507812
2015-03-25,27.434598922729492
2015-03-26,27.625822067260742
2015-03-27,27.405689239501953
2015-03-30,28.09945297241211
2015-03-31,27.668067932128906
2015-04-01,27.628049850463867
2015-04-02,27.8659725189209
2015-04-06,28.317354202270508
2015-04-07,28.019399642944336
2015-04-08,27.928232192993164
2015-04-09,28.141708374023438
2015-04-10,28.261770248413086
2015-04-13,28.206180572509766
2015-04-14,28.083890914916992
2015-04-15,28.19062042236328
2015-04-16,28.054981231689453
2015-04-17,27.739227294921875
2015-04-20,28.37295150756836
2015-04-21,28.219524383544922
2015-04-22,28.599754333496094
2015-04-23,28.833229064941406
2015-04-24,28.968875885009766
2015-04-27,29.495864868164062
2015-04-28,29.031137466430664
2015-04-29,28.604202270507812
2015-04-30,27.828170776367188
2015-05-01,28.673131942749023
2015-05-04,28.61754035949707
2015-05-05,27.972707748413086
2015-05-06,27.79704475402832
2015-05-07,27.968975067138672
2015-05-08,28.49593162536621
2015-05-11,28.205659866333008
2015-05-12,28.105178833007812
2015-05-13,28.136438369750977
2015-05-14,28.79290008544922
2015-05-15,28.752721786499023
2015-05-18,29.069782257080078
2015-05-19,29.042993545532227
2015-05-20,29.040752410888672
2015-05-21,29.337726593017578
2015-05-22,29.59450340270996
2015-05-26,28.9425048828125
2015-05-27,29.48285484313965
2015-05-28,29.424802780151367
2015-05-29,29.089881896972656
2015-06-01,29.147937774658203
2015-06-02,29.01842498779297
2015-06-03,29.054149627685547
2015-06-04,28.88444709777832
2015-06-05,28.725919723510742
2015-06-08,28.53611946105957
2015-06-09,28.45127296447754
2015-06-10,28.77727699279785
2015-06-11,28.71251678466797
2015-06-12,28.39545440673828
2015-06-15,28.339630126953125
2015-06-16,28.491466522216797
2015-06-17,28.42447853088379
2015-06-18,28.553985595703125
2015-06-19,28.26817512512207
2015-06-22,28.493698120117188
2015-06-23,28.364194869995117
2015-06-24,28.605344772338867
2015-06-25,28.469141006469727
2015-06-26,28.30167007446289
2015-06-29,27.80596923828125
2015-06-30,28.006935119628906
2015-07-01,28.26817512512207
2015-07-02,28.232444763183594
2015-07-06,28.134204864501953
2015-07-07,28.06498908996582
2015-07-08,27.368331909179688
2015-07-09,26.810110092163086
2015-07-10,27.5268611907959
2015-07-13,28.058290481567383
2015-07-14,28.047122955322266
2015-07-15,28.31730079650879
2015-07-16,28.69465446472168
2015-07-17,28.9425048828125
2015-07-20,29.489553451538086
2015-07-21,29.19482421875
2015-07-22,27.96004295349121
2015-07-23,27.9466495513916
2015-07-24,27.799280166625977
2015-07-27,27.412986755371094
2015-07-28,27.549198150634766
2015-07-29,27.462114334106445
2015-07-30,27.32367515563965
2015-07-31,27.084758758544922
2015-08-03,26.446149826049805
2015-08-04,25.59766387939453
2015-08-05,25.767366409301758
2015-08-06,25.823434829711914
2015-08-07,25.910911560058594
2015-08-10,26.852956771850586
2015-08-11,25.455583572387695
2015-08-12,25.848102569580078
2015-08-13,25.827922821044922
2015-08-14,26.009599685668945
2015-08-17,26.278759002685547
2015-08-18,26.130725860595703
2015-08-19,25.796518325805664
2015-08-20,25.267183303833008
2015-08-21,23.72176170349121
2015-08-24,23.12961196899414
2015-08-25,23.268678665161133
2015-08-26,24.60325050354004
2015-08-27,25.32773208618164
2015-08-28,25.41072654724121
2015-08-31,25.291851043701172
2015-09-01,24.161388397216797
2015-09-02,25.197643280029297
2015-09-03,24.755779266357422
2015-09-04,24.509044647216797
2015-09-08,25.190916061401367
2015-09-09,24.706430435180664
2015-09-10,25.24923324584961
